num_arrivals,arrival_span_s,arrival_rate_qps,interarrival_mean_s,interarrival_median_s,interarrival_p95_s,interarrival_cv,completion_success_rate,submitted_effective_concurrency_mean,submitted_effective_concurrency_p95,submitted_effective_concurrency_max,submitted_concurrency_at_arrival_median,submitted_concurrency_at_arrival_p95,executing_concurrency_mean,executing_concurrency_p95,executing_concurrency_max,spike_peak_in_1s,spike_p95_in_1s,spike_peak_to_p95_ratio_in_1s,spike_peak_in_5s,spike_p95_in_5s,spike_peak_to_p95_ratio_in_5s,spike_peak_in_10s,spike_p95_in_10s,spike_peak_to_p95_ratio_in_10s,spike_peak_in_30s,spike_p95_in_30s,spike_peak_to_p95_ratio_in_30s,run_id
198.0,2018.968369960785,0.09806988705020962,10.248570405892309,6.924057960510254,29.409566879272457,0.9568373878503015,0.98989898989899,6.6960537798883,27.0,33.0,4.0,27.0,6.692958375170802,27.0,33.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.3333333333333333,9.0,5.849999999999994,1.5384615384615399,1778833931287
198.0,2018.9761691093445,0.09806950821383204,10.248609995478906,6.930553913116455,29.412819433212277,0.9572005828070655,0.9747474747474747,0.793104065725116,4.0,8.0,1.0,5.0,0.7903431253069746,4.0,8.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.3333333333333333,9.0,5.849999999999994,1.5384615384615399,1778834328135
198.0,4037.9560329914093,0.049034709239594444,20.497238746149286,13.859896898269653,58.82283005714416,0.9567599801583682,0.8636363636363636,43.84769161252692,99.0,106.0,36.5,99.0,43.845491528148074,99.0,106.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,1778852891136
198.0,4037.966373205185,0.04903458367406737,20.497291234544086,13.859124898910522,58.8394498348236,0.9567726382611474,0.9848484848484849,8.640634898576428,24.0,27.0,10.0,25.0,8.638417561167941,24.0,27.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,1778839631928
198.0,4037.9674401283264,0.04903457071801143,20.497296650397598,13.855751991271973,58.824946975708,0.9570206056434076,0.98989898989899,1.1078586135962716,6.0,12.0,1.0,8.149999999999977,1.10689945356404,6.0,12.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,1778836790029
198.0,4037.967756986618,0.04903456687028127,20.49729825881532,13.853937864303589,58.84960136413574,0.9571627071962555,1.0,0.28229873991484256,2.0,5.0,1.0,2.0,0.28191980358149915,2.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,1778836931383
297.0,3129.4564509391785,0.09490465985262955,10.572488009929657,7.058919548988342,33.64413607120514,0.9928918321807912,0.6531986531986532,122.70009497354083,212.0,219.0,109.0,209.2,122.69093139810519,212.0,219.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,7.0,6.0,1.1666666666666667,1778861305520
297.0,3129.456754207611,0.09490465065563795,10.572489034485173,7.055368542671204,33.61562782526016,0.9926246420967204,0.98989898989899,51.69377482985691,110.0,114.0,45.0,109.0,51.68625406096091,110.0,114.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,7.0,6.0,1.1666666666666667,1778844782091
297.0,3129.471326828003,0.0949042087249401,10.57253826631082,7.057557940483093,33.612523555755615,0.992731510186574,0.98989898989899,4.137273148385738,16.0,23.0,4.0,17.0,4.134192232853181,16.0,23.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,7.0,6.0,1.1666666666666667,1778841575338
297.0,3129.4573431015015,0.09490463279670498,10.572491023991558,7.05276358127594,33.637938499450684,0.9928737624141392,1.0,0.5544907525463938,2.0,7.0,1.0,4.0,0.5535110170732831,2.0,7.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,7.0,6.0,1.1666666666666667,1778841695519
297.0,6258.944407224655,0.047452091067812494,21.14508245684005,14.112196922302246,67.24680906534195,0.9927339480317572,0.8316498316498316,67.93423660820855,134.0,136.0,61.0,133.2,67.9296589403755,134.0,136.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,6.0,3.0,2.0,1778868881242
297.0,6258.942879915237,0.047452102647088254,21.145077297010936,14.110417485237122,67.24210727214813,0.9925557930335959,0.9865319865319865,7.274422643832714,22.0,27.0,7.0,22.0,7.272368863368355,22.0,26.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,6.0,3.0,2.0,1778850918197
297.0,6258.945360898972,0.047452083837546385,21.145085678712743,14.110174536705017,67.27960550785065,0.9927304912354937,0.98989898989899,0.8472700471668264,3.0,8.0,1.0,5.0,0.8463793599916212,3.0,8.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,6.0,3.0,2.0,1778845281053
297.0,6258.943188905716,0.047452100304480646,21.14507834089769,14.109376549720764,67.27699261903763,0.9929119389919554,1.0,0.23551936917810817,1.0,5.0,1.0,2.0,0.23513873677429845,1.0,5.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,6.0,3.0,2.0,1778845494039
