R,W,rep,time_s
2,2,0,0.011619839817285538
2,2,1,0.011445760726928711
2,2,2,0.011545751243829727
2,2,3,0.011407777667045593
2,2,4,0.011463765054941177
2,2,5,0.011390656232833862
2,2,6,0.011538326740264893
2,2,7,0.0115448497235775
2,2,8,0.01149226725101471
2,2,9,0.011458441615104675
2,4,0,0.022911641746759415
2,4,1,0.022932875901460648
2,4,2,0.023096784949302673
2,4,3,0.023000117391347885
2,4,4,0.023008234798908234
2,4,5,0.02290356531739235
2,4,6,0.022875647991895676
2,4,7,0.023368023335933685
2,4,8,0.02318810671567917
2,4,9,0.022888872772455215
2,8,0,0.045523807406425476
2,8,1,0.0453680194914341
2,8,2,0.04583381116390228
2,8,3,0.04553272947669029
2,8,4,0.04572681337594986
2,8,5,0.045558564364910126
2,8,6,0.04536856710910797
2,8,7,0.04531301558017731
2,8,8,0.04517637938261032
2,8,9,0.0455327071249485
2,16,0,0.17386038601398468
2,16,1,0.17236261442303658
2,16,2,0.17552858963608742
2,16,3,0.1716625764966011
2,16,4,0.17236823961138725
2,16,5,0.17304693534970284
2,16,6,0.17278555780649185
2,16,7,0.17346157878637314
2,16,8,0.17303023114800453
2,16,9,0.17225463688373566
2,32,0,0.32944123819470406
2,32,1,0.32523898035287857
2,32,2,0.32764267176389694
2,32,3,0.3281715251505375
2,32,4,0.327133696526289
2,32,5,0.32779697328805923
2,32,6,0.32783279195427895
2,32,7,0.328077532351017
2,32,8,0.3266778476536274
2,32,9,0.3284967467188835
4,1,0,0.005852777510881424
4,1,1,0.005888991057872772
4,1,2,0.005804121494293213
4,1,3,0.005814787000417709
4,1,4,0.005871165543794632
4,1,5,0.005837179720401764
4,1,6,0.005807071924209595
4,1,7,0.005797237157821655
4,1,8,0.005849331617355347
4,1,9,0.005816511809825897
4,2,0,0.011615894734859467
4,2,1,0.011748295277357101
4,2,2,0.011631641536951065
4,2,3,0.011918023228645325
4,2,4,0.011692479252815247
4,2,5,0.012158814817667007
4,2,6,0.011677779257297516
4,2,7,0.011653516441583633
4,2,8,0.011627521365880966
4,2,9,0.01167866587638855
4,4,0,0.02354384958744049
4,4,1,0.02332443743944168
4,4,2,0.023525994271039963
4,4,3,0.023350846022367477
4,4,4,0.023588992655277252
4,4,5,0.023474261164665222
4,4,6,0.02353036403656006
4,4,7,0.023406632244586945
4,4,8,0.023334182798862457
4,4,9,0.02326217293739319
4,8,0,0.04634096100926399
4,8,1,0.04646812006831169
4,8,2,0.04623889923095703
4,8,3,0.04625849798321724
4,8,4,0.04617275297641754
4,8,5,0.04636305198073387
4,8,6,0.04633093997836113
4,8,7,0.04647113382816315
4,8,8,0.04637662321329117
4,8,9,0.04624995216727257
4,16,0,0.3537237197160721
4,16,1,0.3418835215270519
4,16,2,0.3416120447218418
4,16,3,0.3417287692427635
4,16,4,0.3400864079594612
4,16,5,0.3402465768158436
4,16,6,0.3409247361123562
4,16,7,0.3377573788166046
4,16,8,0.34255068376660347
4,16,9,0.4220856875181198
4,32,0,0.8040729947388172
4,32,1,0.7838427163660526
4,32,2,0.6281924359500408
4,32,3,0.6253357827663422
4,32,4,0.624424871057272
4,32,5,0.624261450022459
4,32,6,0.6238390877842903
4,32,7,0.6245891861617565
4,32,8,0.6247498355805874
4,32,9,0.6249851547181606
8,1,0,0.005705837160348892
8,1,1,0.00577063113451004
8,1,2,0.005728974938392639
8,1,3,0.005695398896932602
8,1,4,0.0056848302483558655
8,1,5,0.0056885890662670135
8,1,6,0.005682244896888733
8,1,7,0.005663316696882248
8,1,8,0.0057207196950912476
8,1,9,0.005684409290552139
8,2,0,0.011373985558748245
8,2,1,0.011335145682096481
8,2,2,0.01136196032166481
8,2,3,0.011378530412912369
8,2,4,0.011402592062950134
8,2,5,0.011465951800346375
8,2,6,0.011332277208566666
8,2,7,0.011414919048547745
8,2,8,0.011361327022314072
8,2,9,0.011371016502380371
8,4,0,0.022753551602363586
8,4,1,0.022811230272054672
8,4,2,0.022720523178577423
8,4,3,0.0228065587580204
8,4,4,0.02282433956861496
8,4,5,0.022806763648986816
8,4,6,0.022764157503843307
8,4,7,0.02268572524189949
8,4,8,0.022938687354326248
8,4,9,0.02273395285010338
8,8,0,0.04516727477312088
8,8,1,0.04520457983016968
8,8,2,0.04510065168142319
8,8,3,0.04523404687643051
8,8,4,0.04507848247885704
8,8,5,0.04516899958252907
8,8,6,0.045069511979818344
8,8,7,0.04516297206282616
8,8,8,0.04525095224380493
8,8,9,0.045157305896282196
8,16,0,0.3335231579840183
8,16,1,0.33302031829953194
8,16,2,0.3330079987645149
8,16,3,0.3336271233856678
8,16,4,0.33301892131567
8,16,5,0.33306173980236053
8,16,6,0.3342665545642376
8,16,7,0.33259645476937294
8,16,8,0.3323478363454342
8,16,9,0.332565288990736
8,32,0,0.6240747533738613
8,32,1,0.6241780482232571
8,32,2,0.6241330355405807
8,32,3,0.6245704740285873
8,32,4,0.6260142102837563
8,32,5,0.6252228170633316
8,32,6,0.6257414631545544
8,32,7,0.6252548322081566
8,32,8,0.6296775452792645
8,32,9,0.6302650757133961
