,true_latency_s
cluster_8_4675413#35980a77-2b55-4ce4-975a-cf630e365789,12.525158310134282
cluster_8_4675427#35980a77-2b55-4ce4-975a-cf630e365789,0.5002951589261551
cluster_8_4675437#35980a77-2b55-4ce4-975a-cf630e365789,65.83982279786348
cluster_8_4675452#35980a77-2b55-4ce4-975a-cf630e365789,5.856130584409872
cluster_8_4675457#35980a77-2b55-4ce4-975a-cf630e365789,21.102535033486532
cluster_8_4675464#35980a77-2b55-4ce4-975a-cf630e365789,17.386471201241278
cluster_8_4675473#35980a77-2b55-4ce4-975a-cf630e365789,104.49870617696888
cluster_8_4675482#35980a77-2b55-4ce4-975a-cf630e365789,61.02780350605528
cluster_8_4675492#35980a77-2b55-4ce4-975a-cf630e365789,62.24960270124525
cluster_8_4675503#35980a77-2b55-4ce4-975a-cf630e365789,46.22628361970284
cluster_8_4675514#35980a77-2b55-4ce4-975a-cf630e365789,287.175163054948
cluster_8_4675537#35980a77-2b55-4ce4-975a-cf630e365789,305.382839284049
cluster_8_4675544#35980a77-2b55-4ce4-975a-cf630e365789,21.97649972525573
cluster_8_4675559#35980a77-2b55-4ce4-975a-cf630e365789,63.94076302580805
cluster_8_4675566#35980a77-2b55-4ce4-975a-cf630e365789,48.477843256357126
cluster_8_4675586#35980a77-2b55-4ce4-975a-cf630e365789,8.318061076297438
cluster_8_4675603#35980a77-2b55-4ce4-975a-cf630e365789,4.780316554877181
cluster_8_4675613#35980a77-2b55-4ce4-975a-cf630e365789,90.26152555877162
cluster_8_4675622#35980a77-2b55-4ce4-975a-cf630e365789,897.0814424731383
cluster_8_4675634#35980a77-2b55-4ce4-975a-cf630e365789,11.959910081860404
cluster_8_4675643#35980a77-2b55-4ce4-975a-cf630e365789,107.56243814072631
cluster_8_4675650#35980a77-2b55-4ce4-975a-cf630e365789,94.17264776605063
cluster_8_4675661#35980a77-2b55-4ce4-975a-cf630e365789,22.728091604972285
cluster_8_4675668#35980a77-2b55-4ce4-975a-cf630e365789,27.437014236044714
cluster_8_4675679#35980a77-2b55-4ce4-975a-cf630e365789,580.6533075705125
cluster_8_4675684#35980a77-2b55-4ce4-975a-cf630e365789,278.65151960874294
cluster_8_4675689#35980a77-2b55-4ce4-975a-cf630e365789,21.844102338252007
cluster_8_4675701#35980a77-2b55-4ce4-975a-cf630e365789,3.1733741049428446
cluster_8_4675717#35980a77-2b55-4ce4-975a-cf630e365789,44.2026500140466
cluster_8_4675726#35980a77-2b55-4ce4-975a-cf630e365789,67.49128393668737
cluster_8_4675731#35980a77-2b55-4ce4-975a-cf630e365789,218.84200036487346
cluster_8_4675740#35980a77-2b55-4ce4-975a-cf630e365789,8.159357593626785
cluster_8_4675752#35980a77-2b55-4ce4-975a-cf630e365789,46.07313372748776
cluster_8_4675771#35980a77-2b55-4ce4-975a-cf630e365789,4.363246084942618
cluster_8_4675779#35980a77-2b55-4ce4-975a-cf630e365789,61.350474021816225
cluster_8_4675782#35980a77-2b55-4ce4-975a-cf630e365789,3.150909090719228
cluster_8_4675789#35980a77-2b55-4ce4-975a-cf630e365789,50.14384489283086
cluster_8_4675801#35980a77-2b55-4ce4-975a-cf630e365789,2.0975902273175193
cluster_8_4675818#35980a77-2b55-4ce4-975a-cf630e365789,32.27002357843854
cluster_8_4675833#35980a77-2b55-4ce4-975a-cf630e365789,4.946080773257049
cluster_8_4675841#35980a77-2b55-4ce4-975a-cf630e365789,127.33383353676871
cluster_8_4675846#35980a77-2b55-4ce4-975a-cf630e365789,252.23992700775543
cluster_8_4675861#35980a77-2b55-4ce4-975a-cf630e365789,96.18176953421266
cluster_8_4675881#35980a77-2b55-4ce4-975a-cf630e365789,94.82598148012845
cluster_8_4675890#35980a77-2b55-4ce4-975a-cf630e365789,61.33596566147819
cluster_8_4675901#35980a77-2b55-4ce4-975a-cf630e365789,182.4286953827832
cluster_8_4675912#35980a77-2b55-4ce4-975a-cf630e365789,43.377147489559654
cluster_8_4675926#35980a77-2b55-4ce4-975a-cf630e365789,35.30087890223444
cluster_8_4675933#35980a77-2b55-4ce4-975a-cf630e365789,0.7261269039357896
cluster_8_4675950#35980a77-2b55-4ce4-975a-cf630e365789,4.898131064006371
cluster_8_4675957#35980a77-2b55-4ce4-975a-cf630e365789,1.9640421305123328
cluster_8_4675960#35980a77-2b55-4ce4-975a-cf630e365789,0.5070331194473361
cluster_8_4675965#35980a77-2b55-4ce4-975a-cf630e365789,156.68080753772102
cluster_8_4675970#35980a77-2b55-4ce4-975a-cf630e365789,18.173146194677404
