cluster_id,total_queries,num_weeks,median_weekly_queries,weekly_cv,dow_cv,hour_cv,latency_entropy
71,1414,1,1414.0,,,,-0.0
72,11,1,11.0,,,,-0.0
73,196095,14,13697.5,0.22404565183984373,0.13014028324203744,1.0199710504241786,0.6931604706421219
74,99925,14,7771.5,0.22594230387231246,0.0007718602756151789,0.009652778313702842,0.36036397407382087
75,1352293,14,104337.5,0.22244179287276963,0.3469666582917792,0.5707512170361033,0.04444915144982226
76,1410738,14,86409.0,0.3902915056245224,0.11464493429899662,0.45430172816791226,0.6445179450821923
77,7713053,14,554279.0,0.21197099218747475,0.0727391756583117,0.46990934592655575,0.2632507145213226
78,445,14,35.0,0.2588962707252942,0.0,,0.2729627586180548
79,21243331,14,1282188.0,0.5396856395250463,0.2905526647919528,0.4120528788121575,0.25128848921989
80,1210352,14,87012.0,0.3378003566264205,0.6145971036193366,1.3562084575769409,0.715514226574315
81,202,12,11.0,1.0128616526883671,0.4152223966508048,1.0618490690365783,0.1313989760152035
82,90,11,6.0,0.4944132324730442,0.0,0.5196152422706632,0.5850166922070227
83,2678,2,1339.0,1.4078765337142163,,1.0100743512597146,0.4011919615543056
84,194,4,24.5,1.114991864849876,1.0052961576641013,1.0190162367519773,0.6498375862281787
85,3581,1,3581.0,,,0.14761409023505706,-0.0
86,12,1,12.0,,,,-0.0
87,30,1,30.0,,,1.0356604620205372,0.4609169645769554
88,1070,1,1070.0,,,,-0.0
89,47,1,47.0,,,,0.4254568730169094
90,5490,1,5490.0,,,0.2539917254098127,-0.0
91,828,1,828.0,,,,-0.0
92,54,1,54.0,,,1.2570787221094177,0.34285732114631
93,335,1,335.0,,,,-0.0
94,9,1,9.0,,,,0.25162916738782287
95,1491,1,1491.0,,,,-0.0
96,58700516,14,4268861.0,0.2492144094929033,0.27174242897650164,1.7804070349561185,0.0051551841064685295
97,2164281,14,163779.5,0.2043804666759007,0.0747686041991863,0.16198725627719895,0.740096997510296
98,6830592,14,353481.0,0.8978127251404828,0.3146237345538536,0.2532854642178212,0.3750294369117319
99,2529138,14,194835.0,0.2256790952185274,0.013994742121408192,0.018736968530315687,0.0258899119195855
100,20673518,14,763002.0,1.0085072660607017,0.08185708602342343,0.008842627177563383,0.25075778409964256
101,132311,14,9438.0,0.18378211345224657,0.09050980787036932,0.2564723461718083,0.9222957766236599
102,79585,14,4802.5,0.37414455928427287,0.1259145965358946,0.5328341210310761,0.8555133624544949
103,7708373,14,592400.5,0.20475095949529754,0.5686098634165381,0.38625308569613864,0.7250832194305855
104,100080,14,5588.0,0.4836492169760802,0.04821660649676609,0.7497226941538662,0.734958385672238
105,133316,14,9229.0,0.43930226728215654,0.37066130577091155,0.7309601165832724,0.5923061943372158
106,399271,14,30315.5,0.21822088371101164,0.09101900501140689,0.34828754402208967,0.2522266590279045
107,12157596,14,1012837.5,0.3148186699141433,0.15998597143477045,0.13670817004399297,0.3484772884838774
108,1863,14,163.0,0.569068056020434,0.21732113695418387,1.328384599972088,0.7709481792212103
109,37224155,14,2810680.5,0.23618782535065844,0.10569544373869333,0.11797312878590636,0.5444068624347719
110,692523,14,45096.0,0.42186682252850677,0.1401462405060048,0.6272011840388869,0.7401529314364549
111,3000692,14,220201.0,0.29191761833406604,0.16865197489558192,0.2828918443491497,0.7587679362386284
112,3405883,14,247714.5,0.23238798439115305,0.24238643762397258,0.31054915246609105,0.21698310939948182
113,179141,14,14052.5,0.2520651454256518,0.08089918068996425,2.301922014948387,0.12366971523199852
114,775888,14,41763.5,0.6997544041371297,0.22743336774389172,0.7174059630404158,0.25680814070816965
115,1858007,14,139723.5,0.2448981457033224,0.15825263409449838,0.32485982835926097,0.2992336133016118
116,450,1,450.0,,,,-0.0
117,17802,13,498.0,1.3424945922303113,0.9167654521208862,1.1501002157834033,0.32005333696194077
118,2081,4,75.5,1.7504037021262024,0.9718904823558453,1.0183964288152503,0.21795095726410757
119,591,1,591.0,,,,0.5269433056419865
120,1550,1,1550.0,,,,-0.0
121,836,1,836.0,,,0.21391091837700302,-0.0
122,82,3,9.0,1.356292756613365,1.356292756613365,1.267530258642163,0.18766280942180164
123,7,1,7.0,,,,0.6893917467430878
124,11,1,11.0,,,,0.3420192178195208
125,6,2,3.0,0.9428090415820635,0.5,0.6666666666666666,0.4591479170272447
126,3200,1,3200.0,,,0.42122285453405567,0.04711998965883281
127,21038,1,21038.0,,,1.1710048605637093,-0.0
128,308,1,308.0,,,,0.4448222158446218
129,370,1,370.0,,,,-0.0
130,6,1,6.0,,,,-0.0
131,116,1,116.0,,,1.3410645850089695,-0.0
132,17940670,14,1071158.5,0.6562897458715395,0.3464381290810279,0.3881020642109666,0.027691796837251138
133,6005301,14,337263.0,0.5123020019376038,0.14248020339200038,1.1672656908014172,0.42925254755388176
134,739248,14,62106.0,0.2697400933234638,0.051947946029160225,0.431446944042525,0.46598082170360844
135,149387,14,10480.5,0.23015660425027126,0.3541333546884845,0.8759345018426129,0.6448247001250578
136,117467,14,8887.5,0.2654349586898632,0.033812557988811553,2.3664952153448158,0.31855530361508805
137,465312,14,35374.0,0.22705744729274657,0.03890966531205066,0.455753914346922,0.7185198520249597
138,52008,14,4126.5,0.3021369226710317,0.060102147521494655,0.8463467369001942,0.6040817181193867
139,301516,14,23298.5,0.23928220570866313,0.19076813575821733,0.4568076459626232,0.011840144795573148
140,190,13,9.0,1.3597091101650853,0.46805742166263975,0.9523965009943005,0.7350826705633795
141,8,1,8.0,,,,-0.0
142,3007,1,3007.0,,,1.1218774319723985,0.5370549690900503
143,1784950,14,111728.0,0.454268725261162,0.040724255116846624,0.3678037427087777,0.29397969315070716
144,257519,10,27133.0,0.20638198116826367,0.042620112576500536,0.06453510973069275,0.3556865483561626
145,7,1,7.0,,,,-0.0
146,6141,1,6141.0,,,1.1280399344767544,0.500750212709907
147,3984,1,3984.0,,,0.9142496627991129,0.5854313797075715
148,38,1,38.0,,,0.7443229275647869,0.4566414820825494
149,656,1,656.0,,,,0.09841615363633054
150,876,1,876.0,,,,-0.0
151,1,1,1.0,,,,-0.0
152,7380,1,7380.0,,,1.092999630472778,0.4652739975831439
153,1,1,1.0,,,,-0.0
154,3,1,3.0,,,,-0.0
155,383074,14,28885.0,0.2450124291840874,0.10752919390496206,1.9483811211590416,0.4498747846910072
156,7095403,14,597030.0,0.3315323108343892,0.05529191237628688,0.13535088643667184,0.7479689136822281
157,231542,14,17067.0,0.24565054931763813,0.44639213420974233,0.7002265428855857,0.7356215248950836
158,10224302,14,403008.5,1.0665174897545577,0.45252888072113184,0.12411353301592791,0.11543980305688643
159,36980,14,2029.5,0.6767122582694822,0.686328601613169,0.9734621982139927,0.6538567255299138
160,935079,14,68265.0,0.2629516864312559,0.07646458321495285,0.6211157108252947,0.5578803024416484
161,664957,14,51738.5,0.24178727416281445,0.0355389555241116,2.1039323052948964,0.25372064380762205
162,2119805,14,27415.0,1.500428008888374,0.34899879057890143,0.2938576381334616,0.0876372311549611
163,2556999,14,168874.0,0.6037449094915703,0.649405039940176,0.7955664184193308,0.14491172165054444
164,2873,7,357.0,0.317409401724542,0.03738878462623129,0.5669442635082333,0.45762482967009177
165,1172,3,352.0,0.21728046474262125,0.6894350045287857,0.6439396674992898,0.5430645375122977
166,1081,1,1081.0,,,,-0.0
167,47,1,47.0,,,,0.2754922216508573
168,2346,1,2346.0,,,1.28904251856216,0.35315192253993555
169,32,1,32.0,,,0.6208193510729725,0.38848671780348254
170,655,1,655.0,,,,-0.0
171,45,1,45.0,,,,-0.0
172,2238,1,2238.0,,,0.6349731990110813,0.5458938543424439
173,1199,1,1199.0,,,,-0.0
174,1956,1,1956.0,,,0.04193475798447827,-0.0
175,80,1,80.0,,,0.2568843773633058,0.9886647142694636
176,856296,14,66129.0,0.7263508155470736,0.47688978641481183,3.7048530400363817,0.06297741691878757
177,522386,14,40738.5,0.22479454789729567,0.01770075677262439,0.3892120079053954,0.12483686661252519
178,5765805,14,438880.0,0.20849682503311112,0.02915011730796697,0.743631325308393,0.36660175421184354
179,578304,14,33414.5,0.44790167511467893,0.240000879376787,0.2552765129477442,0.7767006723703974
180,6111822,14,435596.5,0.2335945806109086,0.13472442109705587,0.229107843999893,0.3372022963992464
181,6184993,14,485476.0,0.30207669748720456,0.08823951273856334,0.3794664992437209,0.15267395536950393
182,325150,14,23842.0,0.28002211234672847,0.3300808790510359,1.4431186088320347,0.607394750390572
