C,Ac,rep,time_s
4,8,0,0.00965789332985878
4,8,1,0.008800357580184937
4,8,2,0.008604351431131363
4,8,3,0.008571196347475052
4,8,4,0.008586198091506958
4,8,5,0.008589733392000198
4,8,6,0.008637513965368271
4,8,7,0.008831962943077087
4,8,8,0.008812140673398972
4,8,9,0.008607286959886551
4,16,0,0.016338590532541275
4,16,1,0.015182428061962128
4,16,2,0.015149571001529694
4,16,3,0.014962304383516312
4,16,4,0.01504068449139595
4,16,5,0.015014253556728363
4,16,6,0.014928214251995087
4,16,7,0.014892589300870895
4,16,8,0.014915496110916138
4,16,9,0.014818310737609863
4,32,0,0.036882732063531876
4,32,1,0.04344889894127846
4,32,2,0.037130679935216904
4,32,3,0.02982136234641075
4,32,4,0.02386482059955597
4,32,5,0.0233038030564785
4,32,6,0.02298714593052864
4,32,7,0.022063449025154114
4,32,8,0.02313290163874626
4,32,9,0.02212553471326828
8,0,0,0.0009661801159381866
8,0,1,0.0009266026318073273
8,0,2,0.000895276665687561
8,0,3,0.000882275402545929
8,0,4,0.0008581317961215973
8,0,5,0.000838104635477066
8,0,6,0.000837225466966629
8,0,7,0.0008432157337665558
8,0,8,0.0008386000990867615
8,0,9,0.0008581876754760742
8,1,0,0.0051619671285152435
8,1,1,0.0031641609966754913
8,1,2,0.0031523890793323517
8,1,3,0.003025047481060028
8,1,4,0.003146994858980179
8,1,5,0.002904016524553299
8,1,6,0.0030168481171131134
8,1,7,0.0031580850481987
8,1,8,0.002947058528661728
8,1,9,0.0030524544417858124
8,2,0,0.004739586263895035
8,2,1,0.0036831237375736237
8,2,2,0.003946967422962189
8,2,3,0.0038662366569042206
8,2,4,0.003954201936721802
8,2,5,0.0038394667208194733
8,2,6,0.003721274435520172
8,2,7,0.0037628374993801117
8,2,8,0.0038151815533638
8,2,9,0.0037770159542560577
8,4,0,0.006696723401546478
8,4,1,0.005531255155801773
8,4,2,0.0055928900837898254
8,4,3,0.005585100501775742
8,4,4,0.0055883415043354034
8,4,5,0.00552048534154892
8,4,6,0.005388885736465454
8,4,7,0.005426112562417984
8,4,8,0.005291596055030823
8,4,9,0.005479235202074051
8,8,0,0.00962074100971222
8,8,1,0.00883951410651207
8,8,2,0.0086841881275177
8,8,3,0.008781872689723969
8,8,4,0.008990995585918427
8,8,5,0.008808314800262451
8,8,6,0.008785083889961243
8,8,7,0.008838959038257599
8,8,8,0.008892107754945755
8,8,9,0.008779637515544891
8,16,0,0.020522605627775192
8,16,1,0.02051456645131111
8,16,2,0.021836191415786743
8,16,3,0.020216919481754303
8,16,4,0.01961204782128334
8,16,5,0.019907094538211823
8,16,6,0.020243600010871887
8,16,7,0.020935852080583572
8,16,8,0.021022267639636993
8,16,9,0.020665355026721954
