C,Ac,rep,time_s
4,8,8,0.007988207042217255
4,8,9,0.00812935084104538
4,16,0,0.01655907928943634
4,16,1,0.01544550433754921
4,16,2,0.015514768660068512
4,16,3,0.015422854572534561
4,16,4,0.01534578949213028
4,16,5,0.0152069590985775
4,16,6,0.015447914600372314
4,16,7,0.015377964824438095
4,16,8,0.015346258878707886
4,16,9,0.015404738485813141
4,32,0,0.04384735971689224
4,32,1,0.04483698308467865
4,32,2,0.054272040724754333
4,32,3,0.04870842397212982
4,32,4,0.04486478492617607
4,32,5,0.04489853233098984
4,32,6,0.044970519840717316
4,32,7,0.04576924815773964
4,32,8,0.04416219890117645
4,32,9,0.0450257770717144
8,0,0,0.001200992614030838
8,0,1,0.0016113147139549255
8,0,2,0.001013331115245819
8,0,3,0.0009595565497875214
8,0,4,0.0009527057409286499
8,0,5,0.0009548552334308624
8,0,6,0.000959295779466629
8,0,7,0.000955827534198761
8,0,8,0.0009627752006053925
8,0,9,0.0009529218077659607
8,1,0,0.006601102650165558
8,1,1,0.004293516278266907
8,1,2,0.004197567701339722
8,1,3,0.004197400063276291
8,1,4,0.0042174942791461945
8,1,5,0.004258997738361359
8,1,6,0.004210475832223892
8,1,7,0.00423237681388855
8,1,8,0.0041618384420871735
8,1,9,0.004230104386806488
8,2,0,0.006263144314289093
8,2,1,0.0052722059190273285
8,2,2,0.005305781960487366
8,2,3,0.005316305905580521
8,2,4,0.00534854456782341
8,2,5,0.00530967116355896
8,2,6,0.005277823656797409
8,2,7,0.00523531436920166
8,2,8,0.005297902971506119
8,2,9,0.005274210125207901
8,4,0,0.008853942155838013
8,4,1,0.0076050832867622375
8,4,2,0.007579494267702103
8,4,3,0.007572747766971588
8,4,4,0.007618524134159088
8,4,5,0.007558166980743408
8,4,6,0.007598988711833954
8,4,7,0.0075512900948524475
8,4,8,0.007481791079044342
8,4,9,0.007552850991487503
8,8,0,0.013815097510814667
8,8,1,0.012765806168317795
8,8,2,0.01294398307800293
8,8,3,0.012794341892004013
8,8,4,0.012779615819454193
8,8,5,0.012709714472293854
8,8,6,0.012773849070072174
8,8,7,0.012759629637002945
8,8,8,0.012687243521213531
8,8,9,0.012735679745674133
8,16,0,0.15180455520749092
8,16,1,0.030081704258918762
8,16,2,0.02645520493388176
8,16,3,0.025870684534311295
8,16,4,0.025705669075250626
8,16,5,0.027277305722236633
8,16,6,0.025849271565675735
8,16,7,0.03373285382986069
8,16,8,0.026153773069381714
8,16,9,0.02602233737707138
8,32,0,0.06841379404067993
8,32,1,0.06200440600514412
8,32,2,0.05467749014496803
8,32,3,0.05626322329044342
8,32,4,0.05460705608129501
8,32,5,0.05520081892609596
8,32,6,0.05481990799307823
8,32,7,0.054920438677072525
8,32,8,0.05563757196068764
8,32,9,0.05510026216506958
16,0,0,0.0016801021993160248
16,0,1,0.0015215910971164703
16,0,2,0.0015218332409858704
16,0,3,0.0014923028647899628
16,0,4,0.0015012137591838837
16,0,5,0.0014851056039333344
16,0,6,0.001504112035036087
16,0,7,0.0014851577579975128
16,0,8,0.0015075244009494781
16,0,9,0.0014883987605571747
16,1,0,0.008585546165704727
16,1,1,0.006374303251504898
16,1,2,0.006318490952253342
16,1,3,0.00623832643032074
16,1,4,0.006276991218328476
16,1,5,0.0062980055809021
16,1,6,0.006241112947463989
16,1,7,0.006264582276344299
16,1,8,0.006239883601665497
16,1,9,0.00623919814825058
16,2,0,0.00939159095287323
16,2,1,0.00833602249622345
16,2,2,0.008447486907243729
16,2,3,0.008336357772350311
16,2,4,0.008307058364152908
16,2,5,0.008695989847183228
16,2,6,0.008332394063472748
16,2,7,0.008378051221370697
16,2,8,0.008343756198883057
16,2,9,0.008362580090761185
16,4,0,0.014254618436098099
16,4,1,0.01298287883400917
16,4,2,0.012865234166383743
16,4,3,0.012893486768007278
16,4,4,0.012911029160022736
16,4,5,0.012941982597112656
16,4,6,0.012745477259159088
16,4,7,0.012864332646131516
16,4,8,0.012804336845874786
16,4,9,0.012776639312505722
16,8,0,0.023528676480054855
16,8,1,0.14665089547634125
16,8,2,0.029423225671052933
16,8,3,0.0320453904569149
16,8,4,0.03242145851254463
16,8,5,0.027506273239850998
16,8,6,0.026679717004299164
16,8,7,0.026571251451969147
16,8,8,0.02692585065960884
16,8,9,0.026663172990083694
16,16,0,0.049285463988780975
16,16,1,0.04786515235900879
16,16,2,0.04750354215502739
16,16,3,0.04750632494688034
16,16,4,0.04749736934900284
16,16,5,0.047762300819158554
16,16,6,0.04774918407201767
16,16,7,0.047464724630117416
16,16,8,0.04807057976722717
16,16,9,0.05035540461540222
16,32,0,0.12756186723709106
16,32,1,0.11190513148903847
16,32,2,0.11379293724894524
16,32,3,0.10592221841216087
16,32,4,0.10328923538327217
16,32,5,0.10284418240189552
16,32,6,0.10602840781211853
16,32,7,0.10589152574539185
16,32,8,0.10707777738571167
16,32,9,0.10334422811865807
