,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,target_is_lower_bound,model_source,individual_loss
545,query_88,ext_tpcds1000#015#001,1778845494039,autoslo-32-1778845494039-0,32,0,1.0026929378509521,0.9511498212814331,0.05154311656951904,1.0541903235602543,False,stage,0.0
1127,query_165,ext_tpcds1000#061#001,1778845494039,autoslo-32-1778845494039-0,32,0,0.9981281757354736,0.938748836517334,0.05937933921813965,1.063253702064155,False,stage,0.0
2467,query_75,ext_tpcds1000#062#001,1778822227786,autoslo-32-1778822227786-0,32,0,0.9947359561920166,1.0596748352050782,0.06493887901306161,1.0652825291061725,False,stage,0.0
3649,query_293,ext_tpcds1000#029#002,1778841695519,autoslo-32-1778841695519-0,32,0,0.9900269508361816,1.5341251850128175,0.5440982341766358,1.5495792147042944,False,stage,0.0
2656,query_149,ext_tpcds1000#018#003,1778829721533,autoslo-32-1778829721533-0,32,0,0.9861299991607666,1.8373832702636719,0.8512532711029053,1.8632262194917035,False,stage,0.0
484,query_159,ext_tpcds1000#082#002,1778834328135,autoslo-32-1778834328135-0,32,0,0.9856789112091064,0.8575249910354614,0.12815392017364502,1.1494462802989556,False,stage,0.0
3585,query_162,ext_tpcds1000#091#002,1778829317324,autoslo-16-1778829317324-0,16,0,0.9715220928192139,1.0434718132019043,0.07194972038269043,1.074058758842944,False,stage,0.0
385,query_82,ext_tpcds1000#053#001,1778821888613,autoslo-16-1778821888613-0,16,0,0.9701120853424072,1.0707358837127685,0.10062379837036128,1.1037238891162204,False,stage,0.0
1537,query_203,ext_tpcds1000#080#002,1778845494039,autoslo-32-1778845494039-0,32,0,0.9683661460876465,0.8706837892532349,0.09768235683441162,1.112190393389765,False,stage,0.0
3003,query_211,ext_tpcds1000#063#001,1778841695519,autoslo-32-1778841695519-0,32,1,0.9682199954986572,1.0828886032104492,0.11466860771179199,1.1184324026107788,False,lstm,0.1119280532002449
1664,query_71,ext_tpcds1000#098#002,1778841575338,autoslo-16-1778841575338-0,16,0,0.9670188426971436,1.0470446745554607,0.08002583185831713,1.082755193926847,False,stage,0.0
2244,query_232,ext_tpcds1000#094#003,1778845494039,autoslo-32-1778845494039-0,32,0,0.9643890857696533,0.9643890857696533,0.0,1.0,False,stage,0.0
923,query_75,ext_tpcds1000#027#003,1778827099259,autoslo-32-1778827099259-0,32,1,0.9638011455535889,1.511433720588684,0.5476325750350952,1.5682008266448975,False,lstm,0.44992899894714355
